Id,Category,Family,Type,Level,LocationType,X,Y,Z,StartX,StartY,StartZ,EndX,EndY,EndZ
17, , , , , None, , , , , , , , , 
19, , , , , None, , , , , , , , , 
20, , , <Solid fill>, , None, , , , , , , , , 
21, , , Diagonal Up, , None, , , , , , , , , 
22, , , Diagonal Down, , None, , , , , , , , , 
23, , , Horizontal, , None, , , , , , , , , 
24, , , Vertical, , None, , , , , , , , , 
25, , , Crosshatch, , None, , , , , , , , , 
26, , , Diagonal Crosshatch, , None, , , , , , , , , 
28, , , , , None, , , , , , , , , 
30, Levels, , L1, , None, , , , , , , , , 
31, , , L1 - Architectural, , None, , , , , , , , , 
32, Views, , L1 - Architectural, , None, , , , , , , , , 
33, , , L1 - Architectural, , None, , , , , , , , , 
35, , , L1 - Architectural, , None, , , , , , , , , 
36, Views, , L1 - Architectural, , None, , , , , , , , , 
37, , , L1 - Architectural, , None, , , , , , , , , 
229, , , , , None, , , , , , , , , 
235, , , , , None, , , , , , , , , 
238, , , , , None, , , , , , , , , 
394, , , Plan Swing, , None, , , , , , , , , 
395, , , Elevation Swing, , None, , , , , , , , , 
1094, , , Elevation Swing, , None, , , , , , , , , 
1095, , , Plan Swing, , None, , , , , , , , , 
2295, , , Text - element id 65, , None, , , , , , , , , 
2296, , , Tag - element id 74, , None, , , , , , , , , 
3650, , , Project View, , None, , , , , , , , , 
3651, , , Project View, , None, , , , , , , , , 
3652, , , Project Browser, , None, , , , , , , , , 
5408, , , Tag - element id 89, , None, , , , , , , , , 
5409, , , Text - element id 95, , None, , , , , , , , , 
8091, , , Elevation - element id 1650, , None, , , , , , , , , 
8355, , , Elevation - element id 127, , None, , , , , , , , , 
8451, , , Elevation - element id 338, , None, , , , , , , , , 
9115, , , Elevation - element id 830, , None, , , , , , , , , 
9304, , , Elevation - element id 694, , None, , , , , , , , , 
9639, , , Elevation - element id 240, , None, , , , , , , , , 
9781, , , Level - element id 9780, , None, , , , , , , , , 
9946, Levels, , L2, , None, , , , , , , , , 
9947, , , L2 - Architectural, , None, , , , , , , , , 
9948, Views, , L2 - Architectural, , None, , , , , , , , , 
9949, , , L2 - Architectural, , None, , , , , , , , , 
9951, , , L2 - Architectural, , None, , , , , , , , , 
9952, Views, , L2 - Architectural, , None, , , , , , , , , 
9953, , , L2 - Architectural, , None, , , , , , , , , 
10229, , , Elevation - element id 102, , None, , , , , , , , , 
10391, , , , , None, , , , , , , , , 
11478, , , Elevation - element id 308, , None, , , , , , , , , 
11975, , , Level - element id 32, , None, , , , , , , , , 
12332, , , Level - element id 139, , None, , , , , , , , , 
12689, , , Elevation - element id 217, , None, , , , , , , , , 
12882, , , Elevation - element id 321, , None, , , , , , , , , 
13017, , , Elevation - element id 467, , None, , , , , , , , , 
16368, , , , , None, , , , , , , , , 
16798, , , - element id 169, , None, , , , , , , , , 
16877, , , L1, , None, , , , , , , , , 
16982, , , - element id 783, , None, , , , , , , , , 
17534, , , - element id 298, , None, , , , , , , , , 
17830, , , <Room Separation>, , None, , , , , , , , , 
17831, , , Callout Heads, , None, , , , , , , , , 
17832, , , Callouts, , None, , , , , , , , , 
17833, , , Cameras, , None, , , , , , , , , 
17834, , , Casework, , None, , , , , , , , , 
